asset_id,theme_id,relation_type,confidence,description
A_217,T_211,THEMED_AS,0.96,HBM중심AI추론메모리수혜
A_088,T_211,THEMED_AS,0.95,메모리및파운드리기반AI추론반도체공급
A_059,T_211,THEMED_AS,0.95,엣지및모바일AI추론칩설계
A_218,T_211,THEMED_AS,0.96,AI메모리공급수혜
A_413,T_211,THEMED_AS,0.94,AI추론용네트워크및커스텀칩설계
A_242,T_211,THEMED_AS,0.90,AI서버용추론칩개발
A_056,T_211,THEMED_AS,0.94,AIGPU및추론칩설계
A_192,T_211,THEMED_AS,0.94,AI추론용네트워크칩설계
A_1359,T_211,THEMED_AS,0.90,AIASIC설계서비스
A_1360,T_211,THEMED_AS,0.90,AIASIC턴키설계
A_463,T_211,THEMED_AS,0.93,AI서버용고다층PCB공급
