from_asset_id,to_business_field_id,relation_type,confidence,description
A_433,BF_108,OPERATES,0.95,시니어하우징 및 요양 부동산 운영
A_434,BF_108,OPERATES,0.95,시니어하우징 및 요양 부동산 운영
A_435,BF_109,OPERATES,0.95,오피스 부동산 운영
A_436,BF_109,OPERATES,0.95,오피스 부동산 운영
A_437,BF_109,OPERATES,0.90,오피스 부동산 운영
A_438,BF_110,OPERATES,0.95,아파트 및 주거 부동산 운영
A_439,BF_110,OPERATES,0.95,아파트 및 주거 부동산 운영
A_440,BF_111,OPERATES,0.90,산업용 및 물류 부동산 운영
A_441,BF_111,OPERATES,0.95,물류 및 산업용 부동산 운영
A_442,BF_112,OPERATES,0.90,상업용 리얼티 운영
A_443,BF_112,OPERATES,0.90,리테일 리얼티 운영
A_444,BF_112,OPERATES,0.90,쇼핑몰 및 리테일 리얼티 운영
