asset_id,theme_id,relation_type,confidence,description
A_433,T_053,THEMED_AS,0.95,미국 헬스케어 리츠 대표 기업
A_434,T_053,THEMED_AS,0.95,미국 시니어하우징 리츠 대표 기업
A_435,T_053,THEMED_AS,0.95,미국 오피스 리츠 대표 기업
A_436,T_053,THEMED_AS,0.90,미국 오피스 리츠 대표 기업
A_437,T_053,THEMED_AS,0.90,미국 오피스 리츠 대표 기업
A_438,T_053,THEMED_AS,0.95,미국 주거 리츠 대표 기업
A_439,T_053,THEMED_AS,0.95,미국 주거 리츠 대표 기업
A_440,T_053,THEMED_AS,0.90,미국 산업용 리츠 대표 기업
A_441,T_053,THEMED_AS,0.95,미국 물류 리츠 대표 기업
A_442,T_053,THEMED_AS,0.90,미국 상업용 리츠 대표 기업
A_443,T_053,THEMED_AS,0.90,미국 쇼핑센터 리츠 대표 기업
A_444,T_053,THEMED_AS,0.90,미국 리테일 리츠 대표 기업
