asset_id,theme_id,relationship_type,confidence,description
A_001,T_004,THEMED_AS,0.95,전기차 신생 OEM 대표주자
A_002,T_004,THEMED_AS,0.99,글로벌 전기차 시장 지배 기업
A_003,T_004,THEMED_AS,0.98,중국 전기차 및 배터리 통합 기업
A_004,T_004,THEMED_AS,0.95,전기차 전환 진행 중 글로벌 OEM
A_005,T_004,THEMED_AS,0.95,전기차 전환 진행 중 글로벌 OEM
A_006,T_004,THEMED_AS,0.90,하이브리드 중심에서 EV 확장 중
A_007,T_004,THEMED_AS,0.90,전동화 전환 진행 OEM
A_008,T_004,THEMED_AS,0.92,전기차 투자 확대 중 미국 OEM
A_009,T_004,THEMED_AS,0.92,전기차 전환 전략 추진 중
A_010,T_004,THEMED_AS,0.92,글로벌 OEM 전동화 전환 기업
