from_asset_id,to_theme_id,relationship_type,confidence,description
A_1478,T_227,THEMED_AS,0.95,호주 희토류 공급망 핵심 광산 기업
A_1479,T_227,THEMED_AS,0.98,중국 외 희토류 공급망 대표 기업
A_1480,T_227,THEMED_AS,0.92,미국 희토류 공급망 구축 핵심 기업
A_273,T_227,THEMED_AS,0.97,미국 희토류 채굴 및 정제 핵심 기업
A_072,T_227,THEMED_AS,0.90,글로벌 희토류 및 전략금속 ETF
A_1481,T_227,THEMED_AS,0.84,희토류·광물 자원 개발 관련 기업
A_1482,T_227,THEMED_AS,0.90,희토류 및 2차전지 소재 관련 사업 보유
A_809,T_227,THEMED_AS,0.88,희토류·전력인프라 공급망 관련 기업
A_812,T_227,THEMED_AS,0.87,희토류 및 특수합금 가공 관련 기업
A_807,T_227,THEMED_AS,0.89,희토류 자석 및 전장부품 관련 기업
A_808,T_227,THEMED_AS,0.92,페라이트 및 희토류 자석 소재 기업
A_1483,T_227,THEMED_AS,0.91,희토류 및 자원개발 관련 사업 보유
A_811,T_227,THEMED_AS,0.93,전략광물 및 비철금속 핵심 기업
