asset_id,asset_name_en,asset_name_ko,ticker,exchange,country,asset_type
A_057,Ambarella,암바렐라,AMBA,NASDAQ,US,STOCK
A_060,NXP Semiconductors,NXP반도체,NXPI,NASDAQ,US,STOCK
A_061,STMicroelectronics,ST마이크로일렉트로닉스,STM,NYSE,CH,STOCK
A_189,Texas Instruments,텍사스인스트루먼트,TXN,NASDAQ,US,STOCK
A_190,Microchip Technology,마이크로칩테크놀로지,MCHP,NASDAQ,US,STOCK
A_191,Analog Devices,아날로그디바이스,ADI,NASDAQ,US,STOCK
A_192,Marvell Technology,마벨테크놀로지,MRVL,NASDAQ,US,STOCK
A_193,Semtech,셈텍,SMTC,NASDAQ,US,STOCK
A_194,MACOM Technology Solutions,메이컴테크놀로지솔루션즈,MTSI,NASDAQ,US,STOCK
A_195,Navitas Semiconductor,나비타스반도체,NVTS,NASDAQ,US,STOCK
A_196,Wolfspeed,울프스피드,WOLF,NYSE,US,STOCK
A_197,Infineon Technologies,인피니언테크놀로지스,IFNNY,OTC,US,STOCK
A_198,ROHM,로옴,ROHCY,OTC,US,STOCK
A_199,Ciena,시에나,CIEN,NYSE,US,STOCK
A_200,iShares Semiconductor ETF,SOXX,SOXX,NASDAQ,US,ETF
A_201,SPDR S&P Semiconductor ETF,XSD,XSD,NYSE_ARCA,US,ETF
