from_asset_id,to_business_field_id,relation_type,confidence,description
A_189,BF_047,OPERATES,0.9,전력/아날로그 및 혼합신호 반도체 중심 사업
A_190,BF_047,OPERATES,0.9,MCU/아날로그 기반 전력·신호처리 영역 사업
A_191,BF_047,OPERATES,0.9,아날로그/혼합신호 반도체 사업
A_196,BF_047,OPERATES,0.85,전력반도체/소재 중심 사업 연관
A_195,BF_047,OPERATES,0.85,차세대 전력반도체(GaN) 중심 사업 연관
A_057,BF_049,OPERATES,0.85,엣지AI/비전 중심 특정용도 반도체 솔루션
A_060,BF_049,OPERATES,0.85,자동차/산업용 특정용도 반도체 솔루션
A_198,BF_049,OPERATES,0.8,아날로그/전력 포함 특정 세그먼트 솔루션
A_197,BF_049,OPERATES,0.8,전력/자동차 등 특정용도 반도체 솔루션
A_061,BF_049,OPERATES,0.8,자동차/산업용 아날로그·전력 솔루션
A_192,BF_048,OPERATES,0.9,데이터센터/네트워킹용 고속인터커넥트/스토리지 반도체
A_193,BF_048,OPERATES,0.85,네트워킹/인프라용 아날로그·신호처리 칩
A_194,BF_048,OPERATES,0.85,고속아날로그/광통신·RF 인프라 반도체
A_199,BF_048,OPERATES,0.85,DC/네트워킹 인프라(광통신) 장비/칩 생태계 연관
