asset_id,theme_id,relation_type,confidence,description
A_119,T_075,THEMED_AS,0.95,S&P500대표시장ETF
A_564,T_075,THEMED_AS,0.95,미국기술섹터ETF
A_565,T_075,THEMED_AS,0.95,미국커뮤니케이션서비스섹터ETF
A_566,T_075,THEMED_AS,0.95,미국헬스케어섹터ETF
A_567,T_075,THEMED_AS,0.95,미국금융섹터ETF
A_503,T_075,THEMED_AS,0.95,미국에너지섹터ETF
A_568,T_075,THEMED_AS,0.95,미국산업재섹터ETF
A_569,T_075,THEMED_AS,0.95,미국소재섹터ETF
A_570,T_075,THEMED_AS,0.95,미국필수소비재섹터ETF
A_571,T_075,THEMED_AS,0.95,미국자유소비재섹터ETF
A_572,T_075,THEMED_AS,0.95,미국유틸리티섹터ETF
A_573,T_075,THEMED_AS,0.95,미국부동산섹터ETF
A_574,T_075,THEMED_AS,0.95,미국반도체섹터ETF
